Date and Time,Aggregated Power,Voltage,Current,Power,Appliance
2024-08-02 12:09:10,7243.232,233,0.872,195.24,TV
2024-08-02 12:09:10,8118.53,233,3.977,875.299,Microwave Oven
2024-08-02 12:14:39,892.596,231,4.006,892.596,Microwave Oven
2024-08-02 12:14:39,1084.413,232,0.875,191.816,TV
2024-08-02 12:14:39,1341.196,232,1.283,256.783,Refrigerator
2024-08-02 12:19:57,7051.327,233,35.853,7051.327,6 Ton AC
2024-08-02 12:19:57,7237.003,231,0.859,185.676,TV
2024-08-02 12:19:57,8113.366,230,4.035,876.363,Microwave Oven
2024-08-02 12:26:23,7063.595,233,35.003,7063.595,6 Ton AC
2024-08-02 12:26:23,7254.33,233,0.871,190.735,TV
2024-08-02 12:26:23,8109.866,233,3.942,855.535,Microwave Oven
2024-08-02 12:33:33,880.84,230,4.089,880.84,Microwave Oven
2024-08-02 12:33:33,8152.608,231,36.343,7271.768,6 Ton AC
2024-08-02 12:33:33,8342.462,232,0.867,189.854,TV
2024-08-02 12:42:49,999.225,230,5.142,999.225,Vacuum Cleaner
2024-08-02 12:42:49,1253.734,232,1.272,254.509,Refrigerator
2024-08-02 12:42:49,8311.237,232,35.74,7057.503,6 Ton AC
2024-08-02 12:50:18,879.388,233,3.957,879.388,Microwave Oven
2024-08-02 12:50:18,1906.348,233,5.249,1026.96,Vacuum Cleaner
2024-08-02 12:50:18,8860.736,231,35.877,6954.389,6 Ton AC
2024-08-02 12:59:37,7053.557,230,36.311,7053.557,6 Ton AC
2024-08-02 12:59:37,8056.14,232,5.183,1002.583,Vacuum Cleaner
2024-08-02 12:59:37,8248.945,232,0.883,192.805,TV
2024-08-02 13:07:53,865.09,233,3.931,865.09,Microwave Oven
2024-08-02 13:07:53,1893.925,233,5.128,1028.835,Vacuum Cleaner
2024-08-02 13:07:53,9127.834,231,36.154,7233.908,6 Ton AC
2024-08-02 13:12:04,7152.344,231,35.863,7152.344,6 Ton AC
2024-08-02 13:12:04,7403.466,233,1.274,251.122,Refrigerator
2024-08-02 13:12:04,8267.725,233,3.95,864.259,Microwave Oven
2024-08-02 13:18:53,7140.193,230,36.524,7140.193,6 Ton AC
2024-08-02 13:18:53,8036.175,233,4.003,895.982,Microwave Oven
2024-08-02 13:18:53,8228.283,230,0.868,192.108,TV
2024-08-02 13:26:33,197.001,233,0.873,197.001,TV
2024-08-02 13:26:33,442.589,230,1.274,245.587,Refrigerator
2024-08-02 13:26:33,1331.245,232,3.959,888.656,Microwave Oven
2024-08-02 13:35:35,7036.534,231,35.598,7036.534,6 Ton AC
2024-08-02 13:35:35,7294.658,230,1.326,258.124,Refrigerator
2024-08-02 13:35:35,7486.593,232,0.867,191.935,TV
2024-08-02 13:40:40,6958.282,231,35.197,6958.282,6 Ton AC
2024-08-02 13:40:40,7210.616,232,1.274,252.334,Refrigerator
2024-08-02 13:40:40,7398.314,230,0.855,187.698,TV
2024-08-02 13:46:12,6994.024,231,35.277,6994.024,6 Ton AC
2024-08-02 13:46:12,7190.121,232,0.88,196.097,TV
2024-08-02 13:46:12,7445.088,230,1.323,254.968,Refrigerator
2024-08-02 13:55:03,190.716,230,0.884,190.716,TV
2024-08-02 13:55:03,1217.998,230,5.274,1027.282,Vacuum Cleaner
2024-08-02 13:55:03,1466.12,233,1.278,248.122,Refrigerator
2024-08-02 13:59:04,924.954,230,4.15,924.954,Microwave Oven
2024-08-02 13:59:04,1111.248,232,0.852,186.294,TV
2024-08-02 13:59:04,1359.386,233,1.275,248.138,Refrigerator
2024-08-02 14:03:47,1019.517,232,5.18,1019.517,Vacuum Cleaner
2024-08-02 14:03:47,8091.498,232,35.992,7071.981,6 Ton AC
2024-08-02 14:03:47,8342.78,231,1.292,251.282,Refrigerator
2024-08-02 14:13:08,7161.537,230,36.255,7161.537,6 Ton AC
2024-08-02 14:13:08,8212.538,231,5.287,1051.001,Vacuum Cleaner
2024-08-02 14:13:08,9056.437,233,3.872,843.899,Microwave Oven
2024-08-02 14:19:46,896.507,232,4.074,896.507,Microwave Oven
2024-08-02 14:19:46,1148.935,231,1.28,252.428,Refrigerator
2024-08-02 14:19:46,2191.621,231,5.23,1042.686,Vacuum Cleaner
2024-08-02 14:29:45,6997.0,233,35.298,6997.0,6 Ton AC
2024-08-02 14:29:45,7252.68,233,1.288,255.679,Refrigerator
2024-08-02 14:29:45,8135.89,231,4.104,883.21,Microwave Oven
2024-08-02 14:36:44,884.79,232,3.951,884.79,Microwave Oven
2024-08-02 14:36:44,7772.586,233,34.846,6887.796,6 Ton AC
2024-08-02 14:36:44,8033.617,231,1.311,261.031,Refrigerator
2024-08-02 14:44:36,885.561,231,4.029,885.561,Microwave Oven
2024-08-02 14:44:36,1136.488,233,1.273,250.927,Refrigerator
2024-08-02 14:44:36,1327.604,233,0.867,191.115,TV
2024-08-02 14:48:43,6995.548,230,35.599,6995.548,6 Ton AC
2024-08-02 14:48:43,8007.75,230,5.263,1012.202,Vacuum Cleaner
2024-08-02 14:48:43,8911.72,230,4.108,903.97,Microwave Oven
2024-08-02 14:57:09,7022.764,231,35.519,7022.764,6 Ton AC
2024-08-02 14:57:09,7211.099,230,0.859,188.335,TV
2024-08-02 14:57:09,8106.673,233,3.986,895.574,Microwave Oven
2024-08-02 15:04:02,870.156,233,3.953,870.156,Microwave Oven
2024-08-02 15:04:02,1060.802,231,0.859,190.645,TV
2024-08-02 15:04:02,8211.597,232,35.897,7150.795,6 Ton AC
2024-08-02 15:10:08,1010.101,233,5.14,1010.101,Vacuum Cleaner
2024-08-02 15:10:08,7878.795,231,35.177,6868.694,6 Ton AC
2024-08-02 15:10:08,8068.652,233,0.873,189.856,TV
2024-08-02 15:14:42,252.144,233,1.273,252.144,Refrigerator
2024-08-02 15:14:42,1142.402,232,4.024,890.258,Microwave Oven
2024-08-02 15:14:42,2139.746,232,5.087,997.344,Vacuum Cleaner
2024-08-02 15:21:05,917.737,231,4.108,917.737,Microwave Oven
2024-08-02 15:21:05,1109.112,231,0.869,191.374,TV
2024-08-02 15:21:05,1360.054,231,1.302,250.942,Refrigerator
2024-08-02 15:30:33,191.48,233,0.874,191.48,TV
2024-08-02 15:30:33,1213.946,232,5.102,1022.466,Vacuum Cleaner
2024-08-02 15:30:33,1472.402,230,1.305,258.456,Refrigerator
2024-08-02 15:36:43,886.461,230,4.093,886.461,Microwave Oven
2024-08-02 15:36:43,1132.915,231,1.28,246.454,Refrigerator
